timestamp,PersonCount,Temperature,Humidity,Light,Pressure
1521612895,3,21.1,22.5,4.0,1021.7
1520533494,0,22.0,28.1,0.0,997.0
1521667952,4,21.6,27.5,0.0,1014.3
1521830638,1,21.8,24.1,2.0,1004.9
1520974911,17,21.4,31.0,1.0,1000.1
1521619345,3,21.7,22.1,20.0,1021.3
1521710342,2,22.1,28.5,22.0,1004.6
1522115638,1,21.3,30.0,1.0,1013.5
1522101478,1,21.5,29.9,1.0,1013.6
1521900028,1,21.2,26.6,5.0,1004.6
1521028191,5,22.5,29.9,16.0,1011.1
1522308268,5,21.1,23.2,6.0,1001.1
1521580975,5,21.5,23.2,0.0,1022.2
1521007101,15,21.0,29.6,1.0,1007.1
1522065088,1,22.1,29.1,31.0,1011.3
1521620695,3,21.7,22.0,18.0,1021.1
1520554464,1,21.3,29.1,0.0,994.0
1520543484,2,21.4,29.1,0.0,996.2
1521012321,14,21.3,29.0,17.0,1008.5
1521026451,14,22.6,29.8,15.0,1010.8
1520979951,17,21.3,30.8,0.0,1001.5
1522214758,5,20.7,23.4,6.0,1011.8
1521909598,1,21.2,26.9,3.0,1004.7
1521758162,1,21.5,26.9,2.0,1007.0
1522192288,5,21.2,27.1,1.0,1013.0
1521977998,1,21.4,30.0,13.0,1006.5
1520910561,7,21.3,33.1,0.0,988.8
1521718502,2,22.2,27.2,19.0,1005.3
1521905848,1,21.2,26.9,4.0,1004.6
1521943738,1,21.2,26.8,2.0,1004.8
1522289518,5,21.0,22.7,1.0,1001.5
1521954718,1,21.2,26.9,3.0,1004.9
1522254478,5,21.6,20.2,6.0,1007.8
1520527404,0,22.5,29.0,14.0,996.5
1521951028,1,21.2,26.9,2.0,1004.7
1521730412,4,22.4,27.6,19.0,1005.6
1521598855,6,21.3,23.4,0.0,1022.2
1522012138,1,21.4,31.0,2.0,1006.9
1520898681,7,21.4,33.4,0.0,989.0
1520914851,7,20.9,32.7,0.0,989.1
1520900031,7,21.4,33.3,0.0,988.8
1521662192,3,21.7,27.6,0.0,1015.0
1520950791,15,22.1,32.1,17.0,995.0
1521763202,1,21.5,27.0,1.0,1006.9
1520874411,1,21.9,34.4,0.0,989.7
1521594415,7,21.3,23.3,0.0,1022.4
1520906271,7,21.3,33.2,0.0,988.7
1521983968,1,21.4,30.3,7.0,1006.5
1522228048,5,22.5,22.5,27.0,1011.5
1520519934,4,22.5,28.8,4.0,996.7
1521988618,1,21.4,30.7,6.0,1006.4
1520557164,1,21.3,29.1,0.0,993.6
1521962038,1,21.2,27.0,14.0,1005.5
1521767102,1,21.5,27.2,2.0,1006.7
1521921508,1,21.2,26.6,2.0,1005.3
1520886621,2,21.4,33.7,0.0,989.3
