PersonCount,Temperature,Humidity,Light,Pressure
3,22.5,28.8,15.0,996.7
3,22.5,28.8,15.0,996.7
3,22.5,28.9,16.0,996.7
3,22.5,28.9,16.0,996.7
3,22.5,28.8,15.0,996.6
3,22.5,28.8,15.0,996.6
3,22.5,28.9,15.0,996.7
3,22.5,28.9,15.0,996.7
3,22.5,28.9,15.0,996.7
3,22.5,28.9,15.0,996.7
3,22.5,28.9,15.0,996.7
3,22.5,28.9,15.0,996.7
3,22.5,28.9,15.0,996.8
3,22.5,28.9,15.0,996.8
3,22.5,28.9,15.0,996.7
3,22.5,28.9,15.0,996.7
3,22.5,28.9,15.0,996.7
2,22.5,28.9,15.0,996.7
2,22.5,28.9,15.0,996.7
2,22.5,28.9,15.0,996.7
1,22.5,29.0,15.0,996.7
3,22.5,29.0,15.0,996.7
3,22.5,29.0,15.0,996.7
5,22.5,29.0,15.0,996.7
5,22.5,29.0,15.0,996.7
5,22.5,29.0,15.0,996.7
5,22.5,29.0,15.0,996.7
5,22.7,29.1,65531.0,996.6
5,22.7,29.1,65531.0,996.6
5,22.6,29.0,14.0,996.6
5,22.6,29.0,14.0,996.6
5,22.6,29.1,14.0,996.7
5,22.6,29.1,14.0,996.7
5,22.6,29.1,14.0,996.5
5,22.6,29.1,14.0,996.5
5,22.6,29.2,15.0,996.5
5,22.6,29.2,15.0,996.5
5,22.6,29.3,15.0,996.6
5,22.6,29.3,15.0,996.6
5,22.6,29.3,15.0,996.6
5,22.6,29.3,15.0,996.6
5,22.6,29.7,65531.0,996.6
5,22.6,29.7,65531.0,996.6
5,22.6,29.4,15.0,996.7
5,22.6,29.4,15.0,996.7
5,22.6,29.4,14.0,996.6
5,22.6,29.4,14.0,996.6
5,22.6,29.4,14.0,996.7
3,22.6,29.4,14.0,996.7
3,22.6,29.4,15.0,996.6
3,22.6,29.4,15.0,996.6
3,22.6,29.4,14.0,996.5
3,22.6,29.4,14.0,996.5
3,22.6,29.4,14.0,996.6
3,22.6,29.4,14.0,996.6
3,22.6,29.4,14.0,996.6
3,22.6,29.4,14.0,996.6
3,22.6,29.4,14.0,996.6
3,22.6,29.4,14.0,996.6
3,22.6,29.4,14.0,996.5
3,22.6,29.4,14.0,996.5
3,22.6,29.4,15.0,996.6
3,22.6,29.4,15.0,996.6
3,22.6,29.4,14.0,996.6
3,22.6,29.4,14.0,996.6
3,22.6,29.4,14.0,996.6
3,22.6,29.4,14.0,996.6
3,22.6,29.3,15.0,996.6
3,22.6,29.3,15.0,996.6
4,22.6,29.3,14.0,996.6
3,22.6,29.3,14.0,996.6
3,22.6,29.3,15.0,996.7
3,22.6,29.3,15.0,996.7
3,22.6,29.3,15.0,996.6
3,22.6,29.3,15.0,996.6
3,23.1,29.6,65531.0,996.7
3,23.1,29.6,65531.0,996.7
3,22.6,29.2,14.0,996.7
3,22.6,29.2,14.0,996.7
3,22.6,29.3,15.0,996.7
3,22.6,29.3,15.0,996.7
3,22.6,29.3,15.0,996.6
3,22.6,29.3,15.0,996.6
3,22.6,29.3,15.0,996.6
3,22.6,29.3,15.0,996.6
3,22.6,29.2,15.0,996.5
3,22.6,29.2,15.0,996.5
3,22.6,29.2,14.0,996.6
3,22.6,29.2,14.0,996.6
3,22.6,29.2,14.0,996.6
3,22.6,29.6,65531.0,996.6
3,22.6,29.6,65531.0,996.6
3,22.6,29.2,15.0,996.5
3,22.6,29.2,15.0,996.5
3,22.5,29.1,15.0,996.5
3,22.5,29.1,15.0,996.5
3,22.5,29.1,15.0,996.5
3,22.5,29.1,15.0,996.5
3,22.5,29.1,15.0,996.4
3,22.5,29.1,15.0,996.4
3,22.5,29.1,15.0,996.4
3,22.5,29.1,15.0,996.4
2,22.5,29.1,15.0,996.4
2,22.5,29.1,15.0,996.4
2,22.5,29.1,15.0,996.4
2,22.5,29.1,15.0,996.4
2,22.5,29.1,14.0,996.4
2,22.5,29.1,14.0,996.4
2,22.5,29.1,14.0,996.5
2,22.5,29.1,14.0,996.5
2,22.5,29.1,15.0,996.4
2,22.5,29.1,15.0,996.4
0,22.5,29.1,14.0,996.5
0,22.5,29.1,14.0,996.5
0,22.5,29.0,15.0,996.6
0,22.5,29.0,15.0,996.6
0,22.5,29.1,14.0,996.4
0,22.5,29.1,14.0,996.4
0,22.5,29.0,15.0,996.4
0,22.5,29.0,15.0,996.4
0,22.5,29.0,14.0,996.4
0,22.5,29.0,14.0,996.4
0,22.5,29.0,14.0,996.6
0,22.5,29.0,14.0,996.6
0,22.5,29.0,14.0,996.5
0,22.5,29.0,14.0,996.5
0,22.5,29.0,14.0,996.6
0,22.5,29.0,14.0,996.6
0,22.5,29.0,14.0,996.5
0,22.5,29.0,14.0,996.5
0,22.5,28.9,14.0,996.5
0,22.5,28.9,14.0,996.5
0,22.5,28.9,14.0,996.5
0,23.1,28.3,65531.0,996.5
0,23.1,28.3,65531.0,996.5
0,22.5,28.7,14.0,996.5
0,22.5,28.7,14.0,996.5
0,22.5,28.8,14.0,996.5
0,22.5,28.8,14.0,996.5
0,22.5,28.8,14.0,996.4
0,22.5,28.8,14.0,996.4
0,22.4,28.8,14.0,996.5
0,22.4,28.8,14.0,996.5
0,22.4,28.7,14.0,996.5
0,22.4,28.7,14.0,996.5
